grafo,best,conv,avg,worst,time,procs,conf
morady/TG18,440,4/100,487.1,550,0.139,4,4
morady/TGG9,16,100/100,16,16,0.101,4,4
morady/TGG11,49,100/100,49,49,0.112,4,4
morady/TGGG11,12,100/100,12,12,0.11,4,4
gauss/GAUSS18,44,6/100,48.48,55,0.139,4,4
gauss/gauss27,69,7/100,75.1,82,0.179,4,4
gauss/gauss35,94,3/100,100.07,110,0.225,4,4
gauss/gauss44,120,1/100,128.25,137,0.262,4,4
gauss/gauss65,180,3/100,192.02,205,0.351,4,4
laplace/laplace9,520,100/100,520,520,0.105,4,4
laplace/laplace16,760,80/100,764.7,800,0.136,4,4
laplace/laplace25,1000,6/100,1055.2,1120,0.18,4,4
laplace/laplace36,1310,2/100,1370.8,1420,0.237,4,4
fft/fft15,560,85/100,563,580,0.132,4,4
fft/fft39,840,3/100,880.4,940,0.249,4,4
fft/fft95,1620,2/100,1663.6,1700,0.466,4,4
fft/fft223,3540,1/100,3588.2,3640,1.017,4,4
random/random30,751,20/100,790.01,828,0.202,4,4
random/random40,559,1/100,585.02,630,0.26,4,4
random/random50,496,3/100,527.04,584,0.273,4,4
morady/TG4,34,100/100,34,34,0.075,4,5
morady/TG9,21,85/100,21.3,23,0.09,4,5
morady/TG10,83,92/100,83.4,88,0.095,4,5
morady/TG11,20,90/100,20.11,22,0.094,4,5
morady/TG12,27,27/100,30.48,35,0.094,4,5
morady/TG14,35,26/100,37.04,42,0.1,4,5
morady/TG17,37,41/100,37.63,39,0.105,4,5
morady/TG18,440,15/100,480.7,550,0.106,4,5
morady/TGG9,16,100/100,16,16,0.09,4,5
morady/TGG11,49,100/100,49,49,0.095,4,5
morady/TGGG11,12,100/100,12,12,0.093,4,5
gauss/GAUSS18,44,11/100,48.49,55,0.108,4,5
gauss/gauss27,67,2/100,74.81,83,0.126,4,5
gauss/gauss35,91,2/100,99.68,111,0.155,4,5
gauss/gauss44,118,1/100,127.14,140,0.175,4,5
gauss/gauss65,177,1/100,191.79,205,0.22,4,5
laplace/laplace9,520,100/100,520,520,0.09,4,5
laplace/laplace16,760,71/100,767.3,800,0.107,4,5
laplace/laplace25,1020,9/100,1056.7,1110,0.126,4,5
laplace/laplace36,1290,1/100,1364.9,1420,0.16,4,5
fft/fft15,560,69/100,566.2,580,0.102,4,5
fft/fft39,840,2/100,887.8,940,0.158,4,5
fft/fft95,1640,5/100,1699.8,1800,0.264,4,5
fft/fft223,3580,1/100,3698,3920,0.502,4,5
random/random30,751,10/100,801.21,900,0.144,4,5
random/random40,553,1/100,588.58,663,0.171,4,5
random/random50,504,7/100,528.12,576,0.165,4,5
morady/TG4,34,100/100,34,34,0.08,4,6
morady/TG9,21,99/100,21.02,23,0.093,4,6
morady/TG10,83,100/100,83,83,0.096,4,6
morady/TG11,20,98/100,20.02,21,0.099,4,6
morady/TG12,27,64/100,28.46,33,0.1,4,6
morady/TG14,35,23/100,36.77,39,0.102,4,6
