,grafo,best,conv,avg,worst,time,procs,conf,deviation
350,random/random50,496,3,521.88,568,0.221,4,12,0.0521774193548387
351,morady/TG4,34,100,34.0,34,0.048,4,13,0.0
352,morady/TG9,21,100,21.0,21,0.059000000000000004,4,13,0.0
353,morady/TG10,83,100,83.0,83,0.06,4,13,0.0
354,morady/TG11,20,100,20.0,20,0.068,4,13,0.0
355,morady/TG12,27,63,28.5,33,0.067,4,13,0.05555555555555555
356,morady/TG14,35,33,36.61,41,0.068,4,13,0.045999999999999985
357,morady/TG17,37,63,37.37,38,0.08199999999999999,4,13,0.00999999999999993
358,morady/TG18,440,36,465.6,520,0.08199999999999999,4,13,0.05818181818181823
359,morady/TGG9,16,100,16.0,16,0.059000000000000004,4,13,0.0
360,morady/TGG11,49,100,49.0,49,0.065,4,13,0.0
361,morady/TGGG11,12,100,12.0,12,0.065,4,13,0.0
362,gauss/GAUSS18,44,32,46.58,51,0.08199999999999999,4,13,0.0586363636363636
363,gauss/gauss27,67,5,72.27,78,0.10400000000000001,4,13,0.07865671641791039
364,gauss/gauss35,91,1,96.25,102,0.142,4,13,0.057692307692307696
365,gauss/gauss44,116,1,124.16,133,0.172,4,13,0.07034482758620687
366,gauss/gauss65,175,0,186.83,204,0.263,4,13,0.07994219653179198
367,laplace/laplace9,520,100,520.0,520,0.057,4,13,0.0
368,laplace/laplace16,760,85,763.9,800,0.07400000000000001,4,13,0.0051315789473683916
369,laplace/laplace25,1000,5,1048.3,1110,0.1,4,13,0.048299999999999954
370,laplace/laplace36,1300,0,1358.4,1400,0.138,4,13,0.07809523809523816
371,fft/fft15,560,94,561.2,580,0.07200000000000001,4,13,0.002142857142857224
372,fft/fft39,840,0,885.4,940,0.149,4,13,0.07975609756097558
