,grafo,best,conv,avg,worst,time,procs,conf,npops,deviation
220,fft/fft95,1640,0,1697.8,1780,0.073,4,6,9,0.06112499999999997
221,fft/fft223,3600,0,3708.2,3800,0.19,4,6,9,0.053465909090909036
222,random/random30,751,19,775.63,828,0.057999999999999996,4,6,9,0.03279627163781624
223,random/random40,555,0,582.67,621,0.068,4,6,9,0.059399999999999925
224,random/random50,496,5,518.16,556,0.068,4,6,9,0.04467741935483865
225,morady/TG9,21,100,21.0,21,0.042,4,6,10,0.0
226,morady/TG10,83,100,83.0,83,0.04,4,6,10,0.0
227,morady/TG11,20,100,20.0,20,0.044000000000000004,4,6,10,0.0
228,morady/TG12,27,78,27.86,31,0.042,4,6,10,0.03185185185185183
229,morady/TG14,35,30,36.48,38,0.046,4,6,10,0.0422857142857142
230,morady/TG17,37,91,37.09,38,0.05,4,6,10,0.0024324324324325247
231,morady/TG18,440,47,457.0,490,0.048,4,6,10,0.038636363636363635
232,morady/TGG9,16,100,16.0,16,0.038,4,6,10,0.0
233,morady/TGG11,49,100,49.0,49,0.048,4,6,10,0.0
234,morady/TGGG11,12,100,12.0,12,0.043,4,6,10,0.0
235,gauss/gauss27,67,8,70.84,78,0.053,4,6,10,0.057313432835820945
236,gauss/gauss35,91,2,96.14,102,0.062,4,6,10,0.05648351648351649
237,gauss/gauss44,116,1,122.17,129,0.062,4,6,10,0.05318965517241381
238,gauss/gauss65,177,0,184.82,199,0.08,4,6,10,0.06832369942196528
239,laplace/laplace9,520,100,520.0,520,0.047,4,6,10,0.0
240,laplace/laplace16,760,96,760.8,790,0.047,4,6,10,0.0010526315789473085
241,laplace/laplace25,1000,5,1039.2,1080,0.054000000000000006,4,6,10,0.03920000000000005
242,laplace/laplace36,1300,0,1348.9,1390,0.062,4,6,10,0.07055555555555562
243,fft/fft15,560,100,560.0,560,0.045,4,6,10,0.0
244,fft/fft39,840,0,879.6,920,0.07,4,6,10,0.07268292682926832
245,fft/fft95,1620,0,1688.0,1780,0.11199999999999999,4,6,10,0.055
246,fft/fft223,3600,0,3704.4,3860,0.19699999999999998,4,6,10,0.05238636363636366
247,random/random30,751,22,774.35,828,0.057,4,6,10,0.031091877496671135
248,random/random40,558,0,582.3,620,0.077,4,6,10,0.05872727272727264
249,random/random50,496,2,515.0,564,0.071,4,6,10,0.038306451612903226
250,morady/TG4,34,100,34.0,34,0.027999999999999997,4,6,1,0.0
251,morady/TG4,34,100,34.0,34,0.015,4,6,2,0.0
252,morady/TG4,34,100,34.0,34,0.017,4,6,3,0.0
253,morady/TG4,34,100,34.0,34,0.013000000000000001,4,6,4,0.0
254,morady/TG4,34,100,34.0,34,0.019,4,6,5,0.0
255,morady/TG4,34,100,34.0,34,0.019,4,6,6,0.0
256,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,7,0.0
257,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,8,0.0
258,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,9,0.0
259,morady/TG4,34,100,34.0,34,0.018000000000000002,4,6,10,0.0
