grafo,best,conv,avg,worst,time,procs,conf
laplace/laplace9,520,100,520,520,0.037,4,4
laplace/laplace16,760,82,765.1,800,0.049,4,4
laplace/laplace25,1000,1,1056.6,1110,0.067,4,4
laplace/laplace36,1290,1,1366.2,1420,0.09,4,4
fft/fft15,560,95,561,580,0.047,4,4
fft/fft39,840,5,874.4,940,0.097,4,4
fft/fft95,1620,2,1661,1700,0.196,4,4
fft/fft223,3540,5,3580.6,3620,0.441,4,4
random/random30,751,17,791.13,828,0.088,4,4
random/random40,556,1,585.42,641,0.106,4,4
random/random50,496,4,522.24,564,0.109,4,4
morady/TG4,34,100,34,34,0.027,4,5
morady/TG9,21,95,21.1,23,0.032,4,5
morady/TG10,83,99,83.05,88,0.033,4,5
morady/TG11,20,98,20.02,21,0.035,4,5
morady/TG12,27,34,29.9,33,0.035,4,5
morady/TG14,35,27,36.93,42,0.037,4,5
morady/TG17,37,58,37.43,39,0.041,4,5
morady/TG18,440,22,476.1,550,0.042,4,5
morady/TGG9,16,100,16,16,0.032,4,5
morady/TGG11,49,100,49,49,0.035,4,5
morady/TGGG11,12,100,12,12,0.034,4,5
gauss/GAUSS18,44,21,47.24,54,0.039,4,5
gauss/gauss27,69,9,74.36,83,0.048,4,5
gauss/gauss35,93,3,98.82,112,0.059,4,5
gauss/gauss44,120,2,126.46,138,0.064,4,5
gauss/gauss65,178,2,192.34,208,0.08,4,5
laplace/laplace9,520,100,520,520,0.032,4,5
laplace/laplace16,760,79,765.7,800,0.038,4,5
laplace/laplace25,1020,7,1057.5,1120,0.046,4,5
laplace/laplace36,1300,2,1365.8,1430,0.058,4,5
fft/fft15,560,80,564,580,0.038,4,5
fft/fft39,860,18,893,940,0.06,4,5
fft/fft95,1640,1,1712.6,1860,0.104,4,5
fft/fft223,3580,1,3720.2,3900,0.211,4,5
random/random30,751,8,794,900,0.056,4,5
random/random40,559,1,591.1,650,0.068,4,5
random/random50,496,1,528.64,576,0.064,4,5
morady/TG4,34,100,34,34,0.029,4,6
morady/TG9,21,100,21,21,0.034,4,6
morady/TG10,83,100,83,83,0.034,4,6
morady/TG11,20,100,20,20,0.036,4,6
morady/TG12,27,83,27.68,31,0.035,4,6
morady/TG14,35,34,36.48,40,0.038,4,6
morady/TG17,37,72,37.28,38,0.043,4,6
morady/TG18,440,38,463.8,490,0.042,4,6
morady/TGG9,16,100,16,16,0.034,4,6
morady/TGG11,49,100,49,49,0.038,4,6
morady/TGGG11,12,100,12,12,0.036,4,6
gauss/GAUSS18,44,31,46.49,49,0.042,4,6
gauss/gauss27,67,4,71.22,78,0.051,4,6
gauss/gauss35,91,1,96.49,103,0.063,4,6
gauss/gauss44,118,7,123.92,130,0.072,4,6
gauss/gauss65,175,2,185.75,198,0.089,4,6
laplace/laplace9,520,100,520,520,0.034,4,6
laplace/laplace16,760,92,762.1,800,0.041,4,6
laplace/laplace25,1000,4,1043,1100,0.049,4,6
laplace/laplace36,1300,1,1352.9,1390,0.063,4,6
fft/fft15,560,96,560.8,580,0.04,4,6
fft/fft39,840,5,878,940,0.066,4,6
fft/fft95,1620,2,1673.6,1760,0.11,4,6
fft/fft223,3580,1,3667.2,3800,0.23,4,6
random/random30,751,25,776.75,828,0.061,4,6
random/random40,557,1,580.61,625,0.083,4,6
random/random50,500,9,517.44,556,0.075,4,6
morady/TG4,34,100,34,34,0.033,4,7
morady/TG9,21,100,21,21,0.045,4,7
morady/TG10,83,100,83,83,0.049,4,7
morady/TG11,20,100,20,20,0.05,4,7
morady/TG12,27,42,29.11,33,0.053,4,7
morady/TG14,35,9,37.06,39,0.056,4,7
morady/TG17,37,61,37.39,38,0.066,4,7
morady/TG18,440,4,483.1,550,0.067,4,7
morady/TGG9,16,100,16,16,0.045,4,7
morady/TGG11,49,100,49,49,0.05,4,7
morady/TGGG11,12,100,12,12,0.049,4,7
gauss/GAUSS18,44,10,47.94,53,0.068,4,7
gauss/gauss27,69,6,74.15,78,0.087,4,7
gauss/gauss35,93,1,99.08,106,0.112,4,7
gauss/gauss44,118,3,125.77,134,0.134,4,7
gauss/gauss65,178,1,188.41,198,0.189,4,7
laplace/laplace9,520,100,520,520,0.045,4,7
laplace/laplace16,760,94,761.6,800,0.061,4,7
laplace/laplace25,1000,3,1050.8,1100,0.082,4,7
laplace/laplace36,1300,2,1360.6,1410,0.114,4,7
fft/fft15,560,100,560,560,0.058,4,7
fft/fft39,840,11,866.2,920,0.124,4,7
fft/fft95,1600,1,1663.4,1820,0.276,4,7
fft/fft223,3560,5,3665.2,3800,0.641,4,7
random/random30,751,27,770.69,828,0.107,4,7
random/random40,552,1,571.75,604,0.139,4,7
random/random50,496,5,513.04,540,0.141,4,7
morady/TG4,34,100,34,34,0.03,4,8
morady/TG9,21,99,21.02,23,0.036,4,8
morady/TG10,83,100,83,83,0.038,4,8
morady/TG11,20,100,20,20,0.038,4,8
morady/TG12,27,61,28.56,33,0.038,4,8
morady/TG14,35,19,36.92,41,0.04,4,8
morady/TG17,37,67,37.33,38,0.046,4,8
morady/TG18,440,14,474.2,530,0.044,4,8
morady/TGG9,16,100,16,16,0.036,4,8
morady/TGG11,49,100,49,49,0.04,4,8
morady/TGGG11,12,100,12,12,0.039,4,8
gauss/GAUSS18,44,20,47.16,54,0.046,4,8
gauss/gauss27,67,2,72.36,78,0.054,4,8
gauss/gauss35,92,2,96.74,102,0.066,4,8
gauss/gauss44,118,4,123.91,133,0.074,4,8
gauss/gauss65,176,1,187.39,200,0.097,4,8
laplace/laplace9,520,100,520,520,0.038,4,8
laplace/laplace16,760,89,763,800,0.044,4,8
laplace/laplace25,1000,6,1045.2,1110,0.054,4,8
laplace/laplace36,1280,1,1356.8,1400,0.068,4,8
fft/fft15,560,91,561.8,580,0.043,4,8
fft/fft39,840,1,881,940,0.071,4,8
fft/fft95,1620,2,1682.2,1760,0.117,4,8
fft/fft223,3580,2,3671,3820,0.241,4,8
random/random30,751,13,787.78,828,0.065,4,8
random/random40,551,1,585.64,691,0.079,4,8
random/random50,496,4,518.4,556,0.074,4,8
morady/TG4,34,100,34,34,0.029,4,9
morady/TG9,21,99,21.02,23,0.038,4,9
morady/TG10,83,100,83,83,0.039,4,9
morady/TG11,20,99,20.01,21,0.041,4,9
morady/TG12,27,28,30.1,33,0.042,4,9
morady/TG14,35,20,37.07,42,0.044,4,9
morady/TG17,37,49,37.55,39,0.054,4,9
morady/TG18,440,5,484.3,550,0.053,4,9
morady/TGG9,16,100,16,16,0.038,4,9
morady/TGG11,49,100,49,49,0.055,4,9
morady/TGGG11,12,100,12,12,0.043,4,9
gauss/GAUSS18,44,3,48.73,55,0.054,4,9
gauss/gauss27,69,6,75.09,83,0.087,4,9
gauss/gauss35,94,4,100.55,114,0.087,4,9
gauss/gauss44,121,2,129.46,142,0.101,4,9
gauss/gauss65,181,1,193.36,207,0.137,4,9
laplace/laplace9,520,100,520,520,0.039,4,9
laplace/laplace16,760,72,769.2,830,0.048,4,9
laplace/laplace25,1020,4,1063.7,1110,0.063,4,9
laplace/laplace36,1310,2,1373.9,1430,0.085,4,9
fft/fft15,560,79,564.2,580,0.048,4,9
fft/fft39,840,5,887.6,940,0.092,4,9
fft/fft95,1620,1,1676.4,1720,0.176,4,9
fft/fft223,3540,1,3593.6,3660,0.411,4,9
random/random30,751,27,785.29,828,0.08,4,9
random/random40,553,1,586.05,632,0.099,4,9
random/random50,496,2,534.04,584,0.1,4,9
morady/TG4,34,100,34,34,0.043,4,10
morady/TG9,21,99,21.02,23,0.056,4,10
morady/TG10,83,100,83,83,0.058,4,10
morady/TG11,20,98,20.02,21,0.063,4,10
morady/TG12,27,64,28.5,33,0.063,4,10
morady/TG14,35,41,36.37,41,0.066,4,10
morady/TG17,37,78,37.23,39,0.079,4,10
morady/TG18,440,37,461.9,530,0.08,4,10
morady/TGG9,16,100,16,16,0.058,4,10
morady/TGG11,49,100,49,49,0.064,4,10
morady/TGGG11,12,100,12,12,0.064,4,10
gauss/GAUSS18,44,43,46.09,52,0.083,4,10
gauss/gauss27,67,4,71.43,80,0.103,4,10
gauss/gauss35,91,1,96.14,104,0.131,4,10
gauss/gauss44,118,10,123.13,132,0.168,4,10
gauss/gauss65,175,1,186.25,196,0.269,4,10
laplace/laplace9,520,100,520,520,0.056,4,10
laplace/laplace16,760,83,764.5,800,0.073,4,10
laplace/laplace25,1000,5,1048.9,1110,0.098,4,10
laplace/laplace36,1280,1,1356.1,1400,0.136,4,10
fft/fft15,560,92,561.6,580,0.07,4,10
fft/fft39,840,5,878.2,940,0.146,4,10
fft/fft95,1640,2,1710.6,1800,0.406,4,10
fft/fft223,3600,1,3767.8,3940,1.476,4,10
random/random30,751,12,784.15,879,0.131,4,10
random/random40,554,1,583.61,625,0.161,4,10
random/random50,496,2,518.28,552,0.183,4,10
morady/TG4,34,100,34,34,0.036,4,11
morady/TG9,21,100,21,21,0.042,4,11
morady/TG10,83,100,83,83,0.043,4,11
morady/TG11,20,99,20.01,21,0.045,4,11
morady/TG12,27,59,28.76,33,0.045,4,11
morady/TG14,35,40,36.41,40,0.047,4,11
morady/TG17,37,67,37.33,38,0.054,4,11
morady/TG18,440,30,462.4,490,0.052,4,11
morady/TGG9,16,100,16,16,0.044,4,11
morady/TGG11,49,100,49,49,0.051,4,11
morady/TGGG11,12,100,12,12,0.05,4,11
gauss/GAUSS18,44,29,46.56,52,0.058,4,11
gauss/gauss27,67,4,71.88,80,0.068,4,11
gauss/gauss35,93,6,96.86,104,0.082,4,11
gauss/gauss44,118,14,123.22,133,0.095,4,11
gauss/gauss65,177,1,186.13,196,0.119,4,11
laplace/laplace9,520,100,520,520,0.044,4,11
laplace/laplace16,760,83,764.7,800,0.054,4,11
laplace/laplace25,1000,8,1046.4,1100,0.067,4,11
laplace/laplace36,1280,1,1352.5,1400,0.088,4,11
fft/fft15,560,93,561.4,580,0.06,4,11
fft/fft39,840,4,877.6,940,0.086,4,11
fft/fft95,1620,1,1677.8,1760,0.138,4,11
fft/fft223,3580,7,3649.4,3820,0.297,4,11
random/random30,751,14,778.46,828,0.086,4,11
random/random40,555,1,579.65,614,0.104,4,11
random/random50,496,6,517,552,0.09,4,11
morady/TG4,34,100,34,34,0.053,4,12
morady/TG9,21,100,21,21,0.065,4,12
morady/TG10,83,100,83,83,0.068,4,12
morady/TG11,20,100,20,20,0.074,4,12
morady/TG12,27,65,28.42,33,0.075,4,12
morady/TG14,35,35,36.54,41,0.082,4,12
morady/TG17,37,60,37.4,38,0.092,4,12
morady/TG18,440,35,464,520,0.095,4,12
morady/TGG9,16,100,16,16,0.067,4,12
morady/TGG11,49,100,49,49,0.077,4,12
morady/TGGG11,12,100,12,12,0.076,4,12
gauss/GAUSS18,44,46,46.16,49,0.09,4,12
gauss/gauss27,67,3,72.12,78,0.117,4,12
gauss/gauss35,91,4,96.12,104,0.15,4,12
gauss/gauss44,116,1,123.12,132,0.186,4,12
gauss/gauss65,177,1,187.19,198,0.302,4,12
laplace/laplace9,520,100,520,520,0.066,4,12
laplace/laplace16,760,91,762.6,800,0.084,4,12
laplace/laplace25,1000,6,1043.9,1100,0.112,4,12
laplace/laplace36,1300,4,1356.7,1410,0.157,4,12
fft/fft15,560,87,562.6,580,0.081,4,12
fft/fft39,840,3,886,940,0.172,4,12
fft/fft95,1640,6,1707,1800,0.473,4,12
fft/fft223,3620,1,3767.8,3920,1.697,4,12
random/random30,751,11,789.67,850,0.156,4,12
random/random40,556,1,582.67,625,0.202,4,12
random/random50,496,3,521.88,568,0.221,4,12
morady/TG4,34,100,34,34,0.048,4,13
morady/TG9,21,100,21,21,0.059,4,13
morady/TG10,83,100,83,83,0.06,4,13
morady/TG11,20,100,20,20,0.068,4,13
morady/TG12,27,63,28.5,33,0.067,4,13
morady/TG14,35,33,36.61,41,0.068,4,13
morady/TG17,37,63,37.37,38,0.082,4,13
morady/TG18,440,36,465.6,520,0.082,4,13
morady/TGG9,16,100,16,16,0.059,4,13
morady/TGG11,49,100,49,49,0.065,4,13
morady/TGGG11,12,100,12,12,0.065,4,13
gauss/GAUSS18,44,32,46.58,51,0.082,4,13
gauss/gauss27,67,5,72.27,78,0.104,4,13
gauss/gauss35,91,1,96.25,102,0.142,4,13
gauss/gauss44,116,1,124.16,133,0.172,4,13
gauss/gauss65,175,1,186.83,204,0.263,4,13
laplace/laplace9,520,100,520,520,0.057,4,13
laplace/laplace16,760,85,763.9,800,0.074,4,13
laplace/laplace25,1000,5,1048.3,1110,0.1,4,13
laplace/laplace36,1300,3,1358.4,1400,0.138,4,13
fft/fft15,560,94,561.2,580,0.072,4,13
fft/fft39,840,3,885.4,940,0.149,4,13
fft/fft95,1640,6,1687.8,1760,0.444,4,13
fft/fft223,3580,1,3721.8,3920,1.687,4,13
random/random30,751,21,781.3,828,0.135,4,13
random/random40,557,1,582.25,618,0.179,4,13
random/random50,496,3,520.76,572,0.2,4,13
morady/TG4,34,100,34,34,0.047,4,14
morady/TG9,21,100,21,21,0.056,4,14
morady/TG10,83,100,83,83,0.063,4,14
morady/TG11,20,100,20,20,0.062,4,14
morady/TG12,27,56,28.8,33,0.061,4,14
morady/TG14,35,26,36.76,39,0.064,4,14
morady/TG17,37,67,37.33,38,0.073,4,14
morady/TG18,440,24,469,490,0.074,4,14
morady/TGG9,16,100,16,16,0.057,4,14
morady/TGG11,49,100,49,49,0.062,4,14
morady/TGGG11,12,100,12,12,0.065,4,14
gauss/GAUSS18,44,28,46.96,55,0.073,4,14
gauss/gauss27,67,11,71.61,78,0.085,4,14
gauss/gauss35,92,2,96.17,102,0.103,4,14
gauss/gauss44,116,1,123.12,132,0.113,4,14
gauss/gauss65,177,2,186.33,196,0.144,4,14
laplace/laplace9,520,100,520,520,0.055,4,14
laplace/laplace16,760,90,763.1,800,0.069,4,14
laplace/laplace25,1000,3,1043.9,1100,0.083,4,14
laplace/laplace36,1300,2,1359.4,1410,0.11,4,14
fft/fft15,560,94,561.2,580,0.067,4,14
fft/fft39,840,12,874.8,940,0.108,4,14
fft/fft95,1620,5,1658,1720,0.186,4,14
fft/fft223,3540,1,3608.4,3700,0.389,4,14
random/random30,751,27,777.23,828,0.112,4,14
random/random40,551,1,576.26,620,0.131,4,14
random/random50,496,3,516.88,556,0.114,4,14
